sample_name	run	year_uid	uid	curid	year	date	col_area	valley_position	sex	age	ageclass	massjun	massaug	mgr	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	strain	*isol_growth_condt
Sample1	4	2015_7261_7962	7261_7962	7261_7962	2015	28-May-15	picnic_lower	UV	M	1	Y	1202.726134	3214.963399	26.47680612	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample2	3	2015_7622_7616	7622_7616	7622_7616	2015	9-Jul-15	picnic_lower	UV	M	1	Y	1083.77547	2568.462957	19.53536167	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample3	4	2015_5540_5546	5540_5546	7670_5546	2015	22-Jun-15	picnic_lower	UV	F	7	A	2895.946529	3162.422145	3.506258105	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample4	3	2015_7099_7937	7099_7937	7099_7275	2015	23-Jul-15	picnic_middle	UV	M	3	A	3377.6611	4686.80469	17.22557355	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample5	4	2015_7295_6696	7295_6696	7295_noear	2015	22-Jun-15	picnic_lower	UV	M	2	A	2139.275489	3569.603155	18.82010087	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample6	3	2015_7274_7825	7274_7825	7610_7882	2015	24-Jun-15	picnic_middle	UV	M	1	Y	1357.644088	3116.822904	23.14708968	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample7	4	2015_7204_7213	7204_7213	7204_7213	2015	8-Jun-15	mm_maintalus	UV	M	4	A	3427.930812	5084.904477	21.80228507	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample8	3	2015_7326_6571	7326_6571	noear_6571	2015	2-Jun-15	river_rivermound	DV	F	3	A	2642.661339	3581.804061	12.35714108	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample9	3	2015_7465_7386	7465_7386	7465_7386	2015	13-Jul-15	river_southmound	DV	F	0	P	388.6572909	1445.850183	13.91043279	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample10	3	2015_6671_7436	6671_7436	6671_7436	2015	4-Jun-15	gothictown	DV	M	1	Y	1764.80597	4269.659085	32.95859362	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample11	4	2015_7584_6694	7584_6694	7584_6694	2015	28-Jun-15	stonefield_main	UV	F	3	A	2235.29655	2863.276633	8.262895829	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample12	3	2015_7538_7006	7538_7006	7538_7006	2015	2-Jun-15	bench	DV	M	1	Y	1667.940393	3694.670924	26.66750699	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample13	3	2015_6439_6329	6439_6329	6439_6325	2015	14-Jun-15	river_southmound	DV	F	5	A	3352.504431	4384.017217	13.57253666	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample14	3	2015_6738_6747	6738_6747	6738_6747	2015	29-Jun-15	rvannex	DV	F	6	A	2716.745213	2774.56614	0.760801671	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample15	4	2015_7817_7808	7817_7808	noear_7634	2015	2-Jun-15	bench	DV	M	1	Y	1608.450954	5021.385964	44.90703961	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
Sample16	3	2015_7659_7671	7659_7671	7853_7858	2015	18-Jun-15	gothictown	DV	M	1	Y	1592.229595	3800.778719	29.05985689	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
